16/10/2017 13:07:29	   110.633 MHz	 -1.0 V/m	-10.3 dBm	OK	IP0: 28890	(11.16 V/m)	Digital: 0XFF
16/10/2017 13:07:33	   111.186 MHz	 -1.0 V/m	-10.4 dBm	OK	IP0: 28853	(11.16 V/m)	Digital: 0XFF
16/10/2017 13:07:37	   111.742 MHz	 -1.0 V/m	-10.2 dBm	OK	IP0: 28858	(11.19 V/m)	Digital: 0XFF
16/10/2017 13:07:41	   112.301 MHz	 -1.0 V/m	-10.2 dBm	OK	IP0: 28838	(11.13 V/m)	Digital: 0XFF
16/10/2017 13:07:45	   112.862 MHz	 -1.0 V/m	-10.3 dBm	OK	IP0: 28714	(11.16 V/m)	Digital: 0XFF
16/10/2017 13:07:49	   113.426 MHz	 -1.0 V/m	-10.4 dBm	OK	IP0: 28591	(11.07 V/m)	Digital: 0XFF
16/10/2017 13:07:53	   113.994 MHz	 -1.0 V/m	-10.2 dBm	OK	IP0: 28619	(11.19 V/m)	Digital: 0XFF
16/10/2017 13:07:57	   114.564 MHz	 -1.0 V/m	-10.3 dBm	OK	IP0: 28426	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:08:01	   115.136 MHz	 -1.0 V/m	-10.2 dBm	OK	IP0: 28410	(11.17 V/m)	Digital: 0XFF
16/10/2017 13:08:05	   115.712 MHz	 -1.0 V/m	-10.3 dBm	OK	IP0: 28287	(11.13 V/m)	Digital: 0XFF
16/10/2017 13:08:09	   116.291 MHz	 -1.0 V/m	-10.3 dBm	OK	IP0: 28161	(11.19 V/m)	Digital: 0XFF
16/10/2017 13:08:13	   116.872 MHz	 -1.0 V/m	-10.3 dBm	OK	IP0: 28062	(11.20 V/m)	Digital: 0XFF
16/10/2017 13:08:17	   117.456 MHz	 -1.0 V/m	-10.5 dBm	OK	IP0: 27812	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:08:21	   118.044 MHz	 -1.0 V/m	-10.5 dBm	OK	IP0: 27660	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:08:25	   118.634 MHz	 -1.0 V/m	-10.4 dBm	OK	IP0: 27565	(11.18 V/m)	Digital: 0XFF
16/10/2017 13:08:29	   119.227 MHz	 -1.0 V/m	-10.4 dBm	OK	IP0: 27339	(11.19 V/m)	Digital: 0XFF
16/10/2017 13:08:33	   119.823 MHz	 -1.0 V/m	-10.3 dBm	OK	IP0: 27174	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:08:37	   120.422 MHz	 -1.0 V/m	-10.3 dBm	OK	IP0: 27055	(11.17 V/m)	Digital: 0XFF
16/10/2017 13:08:41	   121.024 MHz	 -1.0 V/m	-10.4 dBm	OK	IP0: 26863	(11.19 V/m)	Digital: 0XFF
16/10/2017 13:08:45	   121.630 MHz	 -1.0 V/m	-10.5 dBm	OK	IP0: 26657	(11.18 V/m)	Digital: 0XFF
16/10/2017 13:08:49	   122.238 MHz	 -1.0 V/m	-10.6 dBm	OK	IP0: 26499	(11.17 V/m)	Digital: 0XFF
16/10/2017 13:08:53	   122.849 MHz	 -1.0 V/m	-10.9 dBm	OK	IP0: 26309	(11.11 V/m)	Digital: 0XFF
16/10/2017 13:08:57	   123.463 MHz	 -1.0 V/m	-11.2 dBm	OK	IP0: 26086	(11.11 V/m)	Digital: 0XFF
16/10/2017 13:09:01	   124.080 MHz	 -1.0 V/m	-11.3 dBm	OK	IP0: 25966	(11.16 V/m)	Digital: 0XFF
16/10/2017 13:09:05	   124.701 MHz	 -1.0 V/m	-11.1 dBm	OK	IP0: 26105	(11.11 V/m)	Digital: 0XFF
16/10/2017 13:09:09	   125.324 MHz	 -1.0 V/m	-10.9 dBm	OK	IP0: 26196	(11.14 V/m)	Digital: 0XFF
16/10/2017 13:09:13	   125.951 MHz	 -1.0 V/m	-10.7 dBm	OK	IP0: 26264	(11.11 V/m)	Digital: 0XFF
16/10/2017 13:09:17	   126.581 MHz	 -1.0 V/m	-10.4 dBm	OK	IP0: 26429	(11.10 V/m)	Digital: 0XFF
16/10/2017 13:09:21	   127.214 MHz	 -1.0 V/m	-10.2 dBm	OK	IP0: 26546	(11.19 V/m)	Digital: 0XFF
16/10/2017 13:09:25	   127.850 MHz	 -1.0 V/m	-10.0 dBm	OK	IP0: 26646	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:09:29	   128.489 MHz	 -1.0 V/m	 -9.7 dBm	OK	IP0: 26966	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:09:33	   129.131 MHz	 -1.0 V/m	 -9.3 dBm	OK	IP0: 27246	(11.14 V/m)	Digital: 0XFF
16/10/2017 13:09:37	   129.777 MHz	 -1.0 V/m	 -8.9 dBm	OK	IP0: 27576	(11.10 V/m)	Digital: 0XFF
16/10/2017 13:09:41	   130.426 MHz	 -1.0 V/m	 -8.5 dBm	OK	IP0: 27982	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:09:45	   131.078 MHz	 -1.0 V/m	 -8.3 dBm	OK	IP0: 28238	(11.10 V/m)	Digital: 0XFF
16/10/2017 13:09:49	   131.733 MHz	 -1.0 V/m	 -7.8 dBm	OK	IP0: 28659	(11.20 V/m)	Digital: 0XFF
16/10/2017 13:09:53	   132.392 MHz	 -1.0 V/m	 -7.6 dBm	OK	IP0: 28879	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:09:57	   133.054 MHz	 -1.0 V/m	 -7.5 dBm	OK	IP0: 28996	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:10:01	   133.719 MHz	 -1.0 V/m	 -7.3 dBm	OK	IP0: 29239	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:10:05	   134.388 MHz	 -1.0 V/m	 -7.1 dBm	OK	IP0: 29366	(11.14 V/m)	Digital: 0XFF
16/10/2017 13:10:09	   135.060 MHz	 -1.0 V/m	 -6.8 dBm	OK	IP0: 29577	(11.17 V/m)	Digital: 0XFF
16/10/2017 13:10:13	   135.735 MHz	 -1.0 V/m	 -6.6 dBm	OK	IP0: 29773	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:10:18	   136.414 MHz	 -1.0 V/m	 -6.8 dBm	OK	IP0: 29719	(11.10 V/m)	Digital: 0XFF
16/10/2017 13:10:22	   137.096 MHz	 -1.0 V/m	 -6.8 dBm	OK	IP0: 29734	(11.20 V/m)	Digital: 0XFF
16/10/2017 13:10:27	   137.781 MHz	 -1.0 V/m	 -7.2 dBm	OK	IP0: 29622	(11.18 V/m)	Digital: 0XFF
16/10/2017 13:10:31	   138.470 MHz	 -1.0 V/m	 -7.3 dBm	OK	IP0: 29530	(11.17 V/m)	Digital: 0XFF
16/10/2017 13:10:36	   139.163 MHz	 -1.0 V/m	 -7.5 dBm	OK	IP0: 29435	(11.19 V/m)	Digital: 0XFF
16/10/2017 13:10:40	   139.859 MHz	 -1.0 V/m	 -7.6 dBm	OK	IP0: 29391	(11.17 V/m)	Digital: 0XFF
16/10/2017 13:10:45	   140.558 MHz	 -1.0 V/m	 -7.8 dBm	OK	IP0: 29295	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:10:50	   141.261 MHz	 -1.0 V/m	 -8.1 dBm	OK	IP0: 29149	(11.08 V/m)	Digital: 0XFF
16/10/2017 13:10:54	   141.967 MHz	 -1.0 V/m	 -8.1 dBm	OK	IP0: 29086	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:10:58	   142.677 MHz	 -1.0 V/m	 -8.1 dBm	OK	IP0: 29013	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:11:02	   143.390 MHz	 -1.0 V/m	 -8.1 dBm	OK	IP0: 28930	(11.16 V/m)	Digital: 0XFF
16/10/2017 13:11:06	   144.107 MHz	 -1.0 V/m	 -8.1 dBm	OK	IP0: 28839	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:11:10	   144.828 MHz	 -1.0 V/m	 -7.8 dBm	OK	IP0: 28830	(11.19 V/m)	Digital: 0XFF
16/10/2017 13:11:14	   145.552 MHz	 -1.0 V/m	 -7.5 dBm	OK	IP0: 28801	(11.18 V/m)	Digital: 0XFF
16/10/2017 13:11:18	   146.279 MHz	 -1.0 V/m	 -7.3 dBm	OK	IP0: 28769	(11.13 V/m)	Digital: 0XFF
16/10/2017 13:11:22	   147.011 MHz	 -1.0 V/m	 -7.0 dBm	OK	IP0: 28749	(11.14 V/m)	Digital: 0XFF
16/10/2017 13:11:26	   147.746 MHz	 -1.0 V/m	 -6.7 dBm	OK	IP0: 28736	(11.13 V/m)	Digital: 0XFF
16/10/2017 13:11:30	   148.485 MHz	 -1.0 V/m	 -6.6 dBm	OK	IP0: 28641	(11.20 V/m)	Digital: 0XFF
16/10/2017 13:11:34	   149.227 MHz	 -1.0 V/m	 -6.8 dBm	OK	IP0: 28407	(11.14 V/m)	Digital: 0XFF
16/10/2017 13:11:38	   149.973 MHz	 -1.0 V/m	 -6.9 dBm	OK	IP0: 28176	(11.11 V/m)	Digital: 0XFF
16/10/2017 13:11:42	   150.723 MHz	 -1.0 V/m	 -6.7 dBm	OK	IP0: 27969	(11.19 V/m)	Digital: 0XFF
16/10/2017 13:11:46	   151.477 MHz	 -1.0 V/m	 -6.6 dBm	OK	IP0: 27757	(11.19 V/m)	Digital: 0XFF
16/10/2017 13:11:50	   152.234 MHz	 -1.0 V/m	 -6.5 dBm	OK	IP0: 27622	(11.20 V/m)	Digital: 0XFF
16/10/2017 13:11:54	   152.995 MHz	 -1.0 V/m	 -6.4 dBm	OK	IP0: 27548	(11.20 V/m)	Digital: 0XFF
16/10/2017 13:11:58	   153.760 MHz	 -1.0 V/m	 -6.3 dBm	OK	IP0: 27458	(11.18 V/m)	Digital: 0XFF
16/10/2017 13:12:02	   154.529 MHz	 -1.0 V/m	 -6.3 dBm	OK	IP0: 27314	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:12:06	   155.302 MHz	 -1.0 V/m	 -6.4 dBm	OK	IP0: 27207	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:12:10	   156.078 MHz	 -1.0 V/m	 -6.5 dBm	OK	IP0: 27130	(11.13 V/m)	Digital: 0XFF
16/10/2017 13:12:14	   156.859 MHz	 -1.0 V/m	 -6.2 dBm	OK	IP0: 27223	(11.16 V/m)	Digital: 0XFF
16/10/2017 13:12:18	   157.643 MHz	 -1.0 V/m	 -5.9 dBm	OK	IP0: 27242	(11.17 V/m)	Digital: 0XFF
16/10/2017 13:12:22	   158.431 MHz	 -1.0 V/m	 -5.7 dBm	OK	IP0: 27311	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:12:26	   159.223 MHz	 -1.0 V/m	 -5.6 dBm	OK	IP0: 27477	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:12:30	   160.019 MHz	 -1.0 V/m	 -5.6 dBm	OK	IP0: 27669	(11.18 V/m)	Digital: 0XFF
16/10/2017 13:12:34	   160.819 MHz	 -1.0 V/m	 -5.5 dBm	OK	IP0: 27893	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:12:38	   161.624 MHz	 -1.0 V/m	 -5.4 dBm	OK	IP0: 28112	(11.16 V/m)	Digital: 0XFF
16/10/2017 13:12:42	   162.432 MHz	 -1.0 V/m	 -5.4 dBm	OK	IP0: 28336	(11.18 V/m)	Digital: 0XFF
16/10/2017 13:12:46	   163.244 MHz	 -1.0 V/m	 -5.3 dBm	OK	IP0: 28558	(11.19 V/m)	Digital: 0XFF
16/10/2017 13:12:50	   164.060 MHz	 -1.0 V/m	 -5.3 dBm	OK	IP0: 28740	(11.18 V/m)	Digital: 0XFF
16/10/2017 13:12:54	   164.880 MHz	 -1.0 V/m	 -4.8 dBm	OK	IP0: 28982	(11.19 V/m)	Digital: 0XFF
16/10/2017 13:12:58	   165.705 MHz	 -1.0 V/m	 -4.2 dBm	OK	IP0: 29245	(11.16 V/m)	Digital: 0XFF
16/10/2017 13:13:02	   166.533 MHz	 -1.0 V/m	 -3.5 dBm	OK	IP0: 29572	(11.18 V/m)	Digital: 0XFF
16/10/2017 13:13:06	   167.366 MHz	 -1.0 V/m	 -2.8 dBm	OK	IP0: 29895	(11.19 V/m)	Digital: 0XFF
16/10/2017 13:13:10	   168.203 MHz	 -1.0 V/m	 -2.1 dBm	OK	IP0: 30214	(11.16 V/m)	Digital: 0XFF
16/10/2017 13:13:14	   169.044 MHz	 -1.0 V/m	 -1.2 dBm	OK	IP0: 30561	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:13:17	   169.889 MHz	 -1.0 V/m	 -0.2 dBm	OK	IP0: 30895	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:13:20	   170.738 MHz	 -1.0 V/m	  0.8 dBm	OK	IP0: 31227	(10.86 V/m)	Digital: 0XFF
16/10/2017 13:13:32	   171.592 MHz	 -1.0 V/m	 10.0 dBm	OK	IP0: 32262	(9.98 V/m)	Digital: 0XFF
16/10/2017 13:13:32	   172.450 MHz	 -1.0 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 32262	(8.46 V/m)	Digital: 0XFF
16/10/2017 13:13:35	   173.312 MHz	 -1.0 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 32178	(7.71 V/m)	Digital: 0XFF
16/10/2017 13:13:38	   174.179 MHz	 -1.0 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 32273	(7.51 V/m)	Digital: 0XFF
16/10/2017 13:13:41	   175.050 MHz	 -1.0 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 32343	(7.19 V/m)	Digital: 0XFF
16/10/2017 13:13:44	   175.925 MHz	 -1.0 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 32551	(7.35 V/m)	Digital: 0XFF
16/10/2017 13:13:47	   176.805 MHz	 -1.0 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 32668	(8.27 V/m)	Digital: 0XFF
16/10/2017 13:13:50	   177.689 MHz	 -1.0 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 32696	(8.89 V/m)	Digital: 0XFF
16/10/2017 13:13:53	   178.577 MHz	 -1.0 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 32729	(9.46 V/m)	Digital: 0XFF
16/10/2017 13:13:56	   179.470 MHz	 -1.0 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 32734	(9.90 V/m)	Digital: 0XFF
16/10/2017 13:13:59	   180.367 MHz	 -1.0 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 32613	(9.89 V/m)	Digital: 0XFF
16/10/2017 13:14:02	   181.269 MHz	 -1.0 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 32445	(9.71 V/m)	Digital: 0XFF
16/10/2017 13:14:05	   182.176 MHz	 -1.0 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 32493	(10.20 V/m)	Digital: 0XFF
16/10/2017 13:14:11	   183.086 MHz	 -1.0 V/m	 10.0 dBm	OK	IP0: 32755	(10.90 V/m)	Digital: 0XFF
16/10/2017 13:14:24	   184.002 MHz	 -1.0 V/m	 -0.8 dBm	OK	IP0: 31331	(11.17 V/m)	Digital: 0XFF
16/10/2017 13:14:30	   184.922 MHz	 -1.0 V/m	 -2.0 dBm	OK	IP0: 31016	(11.11 V/m)	Digital: 0XFF
16/10/2017 13:14:35	   185.847 MHz	 -1.0 V/m	 -2.6 dBm	OK	IP0: 30797	(11.13 V/m)	Digital: 0XFF
16/10/2017 13:14:40	   186.776 MHz	 -1.0 V/m	 -3.5 dBm	OK	IP0: 30519	(11.11 V/m)	Digital: 0XFF
16/10/2017 13:14:45	   187.710 MHz	 -1.0 V/m	 -4.3 dBm	OK	IP0: 30268	(11.11 V/m)	Digital: 0XFF
16/10/2017 13:14:50	   188.648 MHz	 -1.0 V/m	 -4.8 dBm	OK	IP0: 30066	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:14:55	   189.591 MHz	 -1.0 V/m	 -5.1 dBm	OK	IP0: 29924	(11.10 V/m)	Digital: 0XFF
16/10/2017 13:15:00	   190.539 MHz	 -1.0 V/m	 -5.3 dBm	OK	IP0: 29814	(11.13 V/m)	Digital: 0XFF
16/10/2017 13:15:04	   191.492 MHz	 -1.0 V/m	 -5.4 dBm	OK	IP0: 29771	(11.20 V/m)	Digital: 0XFF
16/10/2017 13:15:09	   192.450 MHz	 -1.0 V/m	 -5.7 dBm	OK	IP0: 29697	(11.11 V/m)	Digital: 0XFF
16/10/2017 13:15:13	   193.412 MHz	 -1.0 V/m	 -5.8 dBm	OK	IP0: 29737	(11.19 V/m)	Digital: 0XFF
16/10/2017 13:15:18	   194.379 MHz	 -1.0 V/m	 -6.1 dBm	OK	IP0: 29738	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:15:23	   195.351 MHz	 -1.0 V/m	 -6.6 dBm	OK	IP0: 29738	(11.17 V/m)	Digital: 0XFF
16/10/2017 13:15:28	   196.327 MHz	 -1.0 V/m	 -6.9 dBm	OK	IP0: 29752	(11.16 V/m)	Digital: 0XFF
16/10/2017 13:15:32	   197.309 MHz	 -1.0 V/m	 -6.9 dBm	OK	IP0: 29860	(11.18 V/m)	Digital: 0XFF
16/10/2017 13:15:36	   198.296 MHz	 -1.0 V/m	 -6.8 dBm	OK	IP0: 29971	(11.14 V/m)	Digital: 0XFF
16/10/2017 13:15:40	   199.287 MHz	 -1.0 V/m	 -6.6 dBm	OK	IP0: 30121	(11.18 V/m)	Digital: 0XFF
16/10/2017 13:15:44	   200.284 MHz	 -1.0 V/m	 -6.5 dBm	OK	IP0: 30193	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:15:49	   201.285 MHz	 -1.0 V/m	 -6.8 dBm	OK	IP0: 30174	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:15:54	   202.291 MHz	 -1.0 V/m	 -7.2 dBm	OK	IP0: 30192	(11.14 V/m)	Digital: 0XFF
16/10/2017 13:15:59	   203.303 MHz	 -1.0 V/m	 -7.5 dBm	OK	IP0: 30177	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:16:03	   204.319 MHz	 -1.0 V/m	 -7.5 dBm	OK	IP0: 30188	(11.16 V/m)	Digital: 0XFF
16/10/2017 13:16:07	   205.341 MHz	 -1.0 V/m	 -7.5 dBm	OK	IP0: 30194	(11.07 V/m)	Digital: 0XFF
16/10/2017 13:16:11	   206.368 MHz	 -1.0 V/m	 -7.2 dBm	OK	IP0: 30248	(11.15 V/m)	Digital: 0XFF
