29/04/2015 09:56:38	   163.244 MHz	 V/m	-12.8 dBm	OK	IP0: 25673	(11.15 V/m)	Digital: 0XFF
29/04/2015 09:56:42	   164.060 MHz	 V/m	-12.7 dBm	OK	IP0: 25764	(11.16 V/m)	Digital: 0XFF
29/04/2015 09:56:46	   164.880 MHz	 V/m	-12.7 dBm	OK	IP0: 25965	(11.14 V/m)	Digital: 0XFF
29/04/2015 09:56:49	   165.705 MHz	 V/m	-12.5 dBm	OK	IP0: 26114	(11.18 V/m)	Digital: 0XFF
29/04/2015 09:56:52	   166.533 MHz	 V/m	-12.4 dBm	OK	IP0: 26249	(11.19 V/m)	Digital: 0XFF
29/04/2015 09:56:55	   167.366 MHz	 V/m	-12.2 dBm	OK	IP0: 26167	(11.12 V/m)	Digital: 0XFF
29/04/2015 09:56:58	   168.203 MHz	 V/m	-11.9 dBm	OK	IP0: 26348	(11.16 V/m)	Digital: 0XFF
29/04/2015 09:57:01	   169.044 MHz	 V/m	-11.7 dBm	OK	IP0: 26266	(11.13 V/m)	Digital: 0XFF
29/04/2015 09:57:05	   169.889 MHz	 V/m	-11.4 dBm	OK	IP0: 26570	(11.12 V/m)	Digital: 0XFF
29/04/2015 09:57:08	   170.738 MHz	 V/m	-11.1 dBm	OK	IP0: 26745	(11.09 V/m)	Digital: 0XFF
29/04/2015 09:57:11	   171.592 MHz	 V/m	-10.8 dBm	OK	IP0: 26763	(11.00 V/m)	Digital: 0XFF
29/04/2015 09:57:14	   172.450 MHz	 V/m	-10.5 dBm	OK	IP0: 26979	(10.97 V/m)	Digital: 0XFF
29/04/2015 09:57:17	   173.312 MHz	 V/m	-10.2 dBm	OK	IP0: 27019	(10.81 V/m)	Digital: 0XFF
29/04/2015 09:57:21	   174.179 MHz	 V/m	 -9.6 dBm	OK	IP0: 27409	(10.86 V/m)	Digital: 0XFF
29/04/2015 09:57:25	   175.050 MHz	 V/m	 -9.1 dBm	OK	IP0: 27467	(10.82 V/m)	Digital: 0XFF
29/04/2015 09:57:29	   175.925 MHz	 V/m	 -8.5 dBm	OK	IP0: 27783	(10.87 V/m)	Digital: 0XFF
29/04/2015 09:57:33	   176.805 MHz	 V/m	 -8.2 dBm	OK	IP0: 27804	(10.80 V/m)	Digital: 0XFF
29/04/2015 09:57:37	   177.689 MHz	 V/m	 -7.7 dBm	OK	IP0: 27939	(10.86 V/m)	Digital: 0XFF
29/04/2015 09:57:41	   178.577 MHz	 V/m	 -7.0 dBm	OK	IP0: 27939	(10.86 V/m)	Digital: 0XFF
29/04/2015 09:57:45	   179.470 MHz	 V/m	 -6.3 dBm	OK	IP0: 28008	(10.86 V/m)	Digital: 0XFF
29/04/2015 09:57:49	   180.367 MHz	 V/m	 -5.8 dBm	OK	IP0: 28106	(10.85 V/m)	Digital: 0XFF
29/04/2015 09:57:52	   181.269 MHz	 V/m	 -5.7 dBm	OK	IP0: 27926	(10.88 V/m)	Digital: 0XFF
29/04/2015 09:57:55	   182.176 MHz	 V/m	 -5.6 dBm	OK	IP0: 27748	(10.94 V/m)	Digital: 0XFF
29/04/2015 09:57:58	   183.086 MHz	 V/m	 -5.6 dBm	OK	IP0: 27633	(10.81 V/m)	Digital: 0XFF
29/04/2015 09:58:01	   184.002 MHz	 V/m	 -5.6 dBm	OK	IP0: 27673	(11.00 V/m)	Digital: 0XFF
29/04/2015 09:58:04	   184.922 MHz	 V/m	 -5.6 dBm	OK	IP0: 27694	(11.15 V/m)	Digital: 0XFF
29/04/2015 09:58:08	   185.847 MHz	 V/m	 -6.3 dBm	OK	IP0: 27315	(11.12 V/m)	Digital: 0XFF
29/04/2015 09:58:12	   186.776 MHz	 V/m	 -6.4 dBm	OK	IP0: 27317	(11.19 V/m)	Digital: 0XFF
29/04/2015 09:58:16	   187.710 MHz	 V/m	 -6.7 dBm	OK	IP0: 27306	(11.17 V/m)	Digital: 0XFF
29/04/2015 09:58:20	   188.648 MHz	 V/m	 -6.8 dBm	OK	IP0: 27426	(11.18 V/m)	Digital: 0XFF
29/04/2015 09:58:24	   189.591 MHz	 V/m	 -7.0 dBm	OK	IP0: 27612	(11.12 V/m)	Digital: 0XFF
29/04/2015 09:58:28	   190.539 MHz	 V/m	 -7.2 dBm	OK	IP0: 27742	(11.13 V/m)	Digital: 0XFF
29/04/2015 09:58:31	   191.492 MHz	 V/m	 -7.1 dBm	OK	IP0: 28050	(11.55 V/m)	Digital: 0XFF
29/04/2015 09:58:34	   192.450 MHz	 V/m	 -7.1 dBm	OK	IP0: 28342	(10.99 V/m)	Digital: 0XFF
29/04/2015 09:58:38	   193.412 MHz	 V/m	 -8.2 dBm	OK	IP0: 28062	(11.13 V/m)	Digital: 0XFF
29/04/2015 09:58:42	   194.379 MHz	 V/m	 -8.5 dBm	OK	IP0: 28194	(11.13 V/m)	Digital: 0XFF
29/04/2015 09:58:46	   195.351 MHz	 V/m	 -8.5 dBm	OK	IP0: 28280	(11.11 V/m)	Digital: 0XFF
29/04/2015 09:58:49	   196.327 MHz	 V/m	 -8.4 dBm	OK	IP0: 28381	(11.13 V/m)	Digital: 0XFF
29/04/2015 09:58:52	   197.309 MHz	 V/m	 -8.2 dBm	OK	IP0: 28512	(11.07 V/m)	Digital: 0XFF
29/04/2015 09:58:55	   198.296 MHz	 V/m	 -8.0 dBm	OK	IP0: 28628	(11.05 V/m)	Digital: 0XFF
29/04/2015 09:58:58	   199.287 MHz	 V/m	 -7.9 dBm	OK	IP0: 28792	(11.13 V/m)	Digital: 0XFF
29/04/2015 09:59:02	   200.284 MHz	 V/m	 -8.0 dBm	OK	IP0: 28912	(11.15 V/m)	Digital: 0XFF
29/04/2015 09:59:05	   201.285 MHz	 V/m	 -8.0 dBm	OK	IP0: 29001	(10.97 V/m)	Digital: 0XFF
29/04/2015 09:59:08	   202.291 MHz	 V/m	 -8.0 dBm	OK	IP0: 29107	(11.16 V/m)	Digital: 0XFF
29/04/2015 09:59:12	   203.303 MHz	 V/m	 -8.7 dBm	OK	IP0: 28814	(11.11 V/m)	Digital: 0XFF
29/04/2015 09:59:15	   204.319 MHz	 V/m	 -8.6 dBm	OK	IP0: 28846	(11.12 V/m)	Digital: 0XFF
29/04/2015 09:59:18	   205.341 MHz	 V/m	 -8.5 dBm	OK	IP0: 28845	(11.05 V/m)	Digital: 0XFF
29/04/2015 09:59:21	   206.368 MHz	 V/m	 -8.4 dBm	OK	IP0: 28805	(10.98 V/m)	Digital: 0XFF
29/04/2015 09:59:24	   207.400 MHz	 V/m	 -8.2 dBm	OK	IP0: 28869	(11.06 V/m)	Digital: 0XFF
29/04/2015 09:59:27	   208.437 MHz	 V/m	 -8.1 dBm	OK	IP0: 29010	(11.10 V/m)	Digital: 0XFF
29/04/2015 09:59:30	   209.479 MHz	 V/m	 -7.9 dBm	OK	IP0: 29153	(10.99 V/m)	Digital: 0XFF
29/04/2015 09:59:33	   210.526 MHz	 V/m	 -7.6 dBm	OK	IP0: 29338	(10.93 V/m)	Digital: 0XFF
29/04/2015 09:59:37	   211.579 MHz	 V/m	 -7.3 dBm	OK	IP0: 29463	(10.90 V/m)	Digital: 0XFF
29/04/2015 09:59:41	   212.637 MHz	 V/m	 -6.9 dBm	OK	IP0: 29471	(10.86 V/m)	Digital: 0XFF
29/04/2015 09:59:45	   213.700 MHz	 V/m	 -6.4 dBm	OK	IP0: 29575	(10.83 V/m)	Digital: 0XFF
29/04/2015 09:59:49	   214.768 MHz	 V/m	 -5.9 dBm	OK	IP0: 29758	(10.85 V/m)	Digital: 0XFF
29/04/2015 09:59:53	   215.842 MHz	 V/m	 -5.5 dBm	OK	IP0: 29928	(10.86 V/m)	Digital: 0XFF
29/04/2015 09:59:56	   216.921 MHz	 V/m	 -5.2 dBm	OK	IP0: 29981	(10.84 V/m)	Digital: 0XFF
29/04/2015 09:59:59	   218.006 MHz	 V/m	 -4.9 dBm	OK	IP0: 29937	(10.81 V/m)	Digital: 0XFF
29/04/2015 10:00:02	   219.096 MHz	 V/m	 -4.4 dBm	OK	IP0: 30005	(10.81 V/m)	Digital: 0XFF
29/04/2015 10:00:06	   220.191 MHz	 V/m	 -3.9 dBm	OK	IP0: 29985	(10.87 V/m)	Digital: 0XFF
