11/01/2017 16:21:24	  1663.176 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 227	(-22.83 V/m)	Digital: 0XFF
11/01/2017 16:21:28	  1671.492 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 183	(-24.67 V/m)	Digital: 0XFF
11/01/2017 16:21:32	  1679.850 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 196	(-26.50 V/m)	Digital: 0XFF
11/01/2017 16:21:36	  1688.249 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 183	(-24.57 V/m)	Digital: 0XFF
11/01/2017 16:21:40	  1696.690 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 216	(-21.90 V/m)	Digital: 0XFF
11/01/2017 16:21:44	  1705.174 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 186	(-25.03 V/m)	Digital: 0XFF
11/01/2017 16:21:48	  1713.699 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 211	(-26.69 V/m)	Digital: 0XFF
11/01/2017 16:21:52	  1722.268 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 183	(-26.10 V/m)	Digital: 0XFF
11/01/2017 16:21:56	  1730.879 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 187	(-22.66 V/m)	Digital: 0XFF
11/01/2017 16:22:00	  1739.534 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 210	(-22.94 V/m)	Digital: 0XFF
11/01/2017 16:22:04	  1748.231 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 216	(-22.12 V/m)	Digital: 0XFF
11/01/2017 16:22:08	  1756.973 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 187	(-20.14 V/m)	Digital: 0XFF
11/01/2017 16:22:12	  1765.757 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 226	(-22.08 V/m)	Digital: 0XFF
11/01/2017 16:22:16	  1774.586 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 201	(-20.59 V/m)	Digital: 0XFF
11/01/2017 16:22:20	  1783.459 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 205	(-22.97 V/m)	Digital: 0XFF
11/01/2017 16:22:24	  1792.376 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 198	(-20.05 V/m)	Digital: 0XFF
11/01/2017 16:22:28	  1801.338 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 229	(-18.52 V/m)	Digital: 0XFF
11/01/2017 16:22:32	  1810.345 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 229	(-20.09 V/m)	Digital: 0XFF
11/01/2017 16:22:36	  1819.397 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 229	(-24.03 V/m)	Digital: 0XFF
11/01/2017 16:22:40	  1828.494 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 231	(-22.02 V/m)	Digital: 0XFF
11/01/2017 16:22:44	  1837.636 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 183	(-22.44 V/m)	Digital: 0XFF
11/01/2017 16:22:48	  1846.824 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 216	(-22.96 V/m)	Digital: 0XFF
11/01/2017 16:22:52	  1856.058 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 231	(-24.63 V/m)	Digital: 0XFF
11/01/2017 16:22:56	  1865.339 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 214	(-27.79 V/m)	Digital: 0XFF
11/01/2017 16:23:00	  1874.665 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 184	(-28.05 V/m)	Digital: 0XFF
11/01/2017 16:23:04	  1884.039 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 187	(-26.44 V/m)	Digital: 0XFF
11/01/2017 16:23:08	  1893.459 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 229	(-25.82 V/m)	Digital: 0XFF
11/01/2017 16:23:12	  1902.926 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 184	(-23.81 V/m)	Digital: 0XFF
11/01/2017 16:23:16	  1912.441 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 192	(-24.67 V/m)	Digital: 0XFF
11/01/2017 16:23:20	  1922.003 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 188	(-22.99 V/m)	Digital: 0XFF
11/01/2017 16:23:24	  1931.613 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 187	(-23.10 V/m)	Digital: 0XFF
11/01/2017 16:23:28	  1941.271 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 194	(-25.30 V/m)	Digital: 0XFF
11/01/2017 16:23:32	  1950.978 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 229	(-23.55 V/m)	Digital: 0XFF
11/01/2017 16:23:36	  1960.732 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 223	(-26.65 V/m)	Digital: 0XFF
11/01/2017 16:23:40	  1970.536 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 216	(-28.18 V/m)	Digital: 0XFF
11/01/2017 16:23:44	  1980.389 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 204	(-28.20 V/m)	Digital: 0XFF
11/01/2017 16:23:48	  1990.291 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 187	(-28.22 V/m)	Digital: 0XFF
11/01/2017 16:23:52	  2000.000 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 207	(-29.79 V/m)	Digital: 0XFF


