19/10/2017 13:07:48	     3.048 MHz	 11.7 V/m	 -6.1 dBm	OK
19/10/2017 13:07:52	     3.078 MHz	 11.7 V/m	 -6.2 dBm	OK
19/10/2017 13:07:56	     3.109 MHz	 11.7 V/m	 -6.3 dBm	OK
19/10/2017 13:08:00	     3.140 MHz	 11.7 V/m	 -6.5 dBm	OK
19/10/2017 13:08:03	     3.172 MHz	 11.7 V/m	 -6.5 dBm	OK
19/10/2017 13:08:07	     3.203 MHz	 11.7 V/m	 -6.7 dBm	OK
19/10/2017 13:08:11	     3.235 MHz	 11.7 V/m	 -6.7 dBm	OK
19/10/2017 13:08:15	     3.268 MHz	 11.4 V/m	 -6.9 dBm	OK
19/10/2017 13:08:18	     3.300 MHz	 11.7 V/m	 -6.9 dBm	OK
19/10/2017 13:08:22	     3.333 MHz	 11.7 V/m	 -7.0 dBm	OK
19/10/2017 13:08:26	     3.367 MHz	 11.7 V/m	 -7.1 dBm	OK
19/10/2017 13:08:30	     3.400 MHz	 11.7 V/m	 -7.3 dBm	OK
19/10/2017 13:08:33	     3.434 MHz	 11.7 V/m	 -7.3 dBm	OK
19/10/2017 13:08:37	     3.469 MHz	 11.7 V/m	 -7.5 dBm	OK
19/10/2017 13:08:40	     3.503 MHz	 11.7 V/m	 -7.5 dBm	OK
19/10/2017 13:08:43	     3.538 MHz	 11.7 V/m	 -7.6 dBm	OK
19/10/2017 13:08:47	     3.574 MHz	 11.7 V/m	 -7.7 dBm	OK
19/10/2017 13:08:51	     3.610 MHz	 11.7 V/m	 -7.8 dBm	OK
19/10/2017 13:08:55	     3.646 MHz	 11.7 V/m	 -7.9 dBm	OK
19/10/2017 13:08:59	     3.682 MHz	 11.7 V/m	 -8.0 dBm	OK
19/10/2017 13:09:03	     3.719 MHz	 11.7 V/m	 -8.2 dBm	OK
19/10/2017 13:09:06	     3.756 MHz	 11.7 V/m	 -8.2 dBm	OK
19/10/2017 13:09:10	     3.794 MHz	 11.7 V/m	 -8.3 dBm	OK
19/10/2017 13:09:14	     3.832 MHz	 11.7 V/m	 -8.6 dBm	OK
19/10/2017 13:09:17	     3.870 MHz	 11.7 V/m	 -8.6 dBm	OK
19/10/2017 13:09:21	     3.909 MHz	 11.7 V/m	 -8.7 dBm	OK
19/10/2017 13:09:25	     3.948 MHz	 11.7 V/m	 -8.9 dBm	OK
19/10/2017 13:09:28	     3.987 MHz	 11.7 V/m	 -8.9 dBm	OK
19/10/2017 13:09:32	     4.027 MHz	 11.7 V/m	 -9.0 dBm	OK
19/10/2017 13:09:36	     4.067 MHz	 11.7 V/m	 -9.1 dBm	OK
19/10/2017 13:09:39	     4.108 MHz	 11.7 V/m	 -9.2 dBm	OK
19/10/2017 13:09:43	     4.149 MHz	 11.7 V/m	 -9.3 dBm	OK
