05/04/2018 13:54:10:	DIGO: 8

05/04/2018 13:54:11:	DIGO: 0

05/04/2018 13:54:12:	STAT

05/04/2018 13:54:12:	DIGO: 0

05/04/2018 13:54:16:	DIGO: 4

05/04/2018 13:54:17:	DIGO: 0

05/04/2018 13:54:22:	DIGO: 8

05/04/2018 13:54:23:	DIGO: 0

05/04/2018 13:54:24:	STAT

05/04/2018 13:54:24:	DIGO: 0

05/04/2018 13:54:28:	DIGO: 4

05/04/2018 13:54:29:	DIGO: 0

05/04/2018 13:54:34:	DIGO: 8

05/04/2018 13:54:35:	DIGO: 0

05/04/2018 13:54:36:	STAT

05/04/2018 13:54:36:	DIGO: 0

05/04/2018 13:54:40:	DIGO: 4

05/04/2018 13:54:41:	DIGO: 0

05/04/2018 13:54:46:	DIGO: 8

05/04/2018 13:54:47:	DIGO: 0

05/04/2018 13:54:48:	STAT

05/04/2018 13:54:48:	DIGO: 0

05/04/2018 13:54:52:	DIGO: 4

05/04/2018 13:54:53:	DIGO: 0

05/04/2018 13:54:58:	DIGO: 8

05/04/2018 13:54:59:	DIGO: 0

05/04/2018 13:55:00:	STAT

05/04/2018 13:55:00:	DIGO: 0

05/04/2018 13:55:04:	DIGO: 4

05/04/2018 13:55:05:	DIGO: 0

05/04/2018 13:55:09:	DIGO: 8

05/04/2018 13:55:11:	DIGO: 0

05/04/2018 13:55:12:	STAT

05/04/2018 13:55:12:	DIGO: 0

05/04/2018 13:55:16:	DIGO: 4

05/04/2018 13:55:17:	DIGO: 0

05/04/2018 13:55:21:	DIGO: 8

05/04/2018 13:55:23:	DIGO: 0

05/04/2018 13:55:24:	STAT

05/04/2018 13:55:24:	DIGO: 0

05/04/2018 13:55:28:	DIGO: 4

05/04/2018 13:55:29:	DIGO: 0

05/04/2018 13:55:33:	DIGO: 8

05/04/2018 13:55:35:	DIGO: 0

05/04/2018 13:55:36:	STAT

05/04/2018 13:55:36:	DIGO: 0

05/04/2018 13:55:40:	DIGO: 4

05/04/2018 13:55:41:	DIGO: 0

05/04/2018 13:55:46:	DIGO: 8

05/04/2018 13:55:47:	DIGO: 0

05/04/2018 13:55:48:	STAT

05/04/2018 13:55:48:	DIGO: 0

05/04/2018 13:55:52:	DIGO: 4

05/04/2018 13:55:53:	DIGO: 0

05/04/2018 13:55:58:	DIGO: 8

05/04/2018 13:55:59:	DIGO: 0

05/04/2018 13:56:00:	STAT

05/04/2018 13:56:00:	DIGO: 0

05/04/2018 13:56:04:	DIGO: 4

05/04/2018 13:56:05:	DIGO: 0

05/04/2018 13:56:10:	DIGO: 8

05/04/2018 13:56:11:	DIGO: 0

05/04/2018 13:56:12:	STAT

05/04/2018 13:56:12:	DIGO: 0

05/04/2018 13:56:16:	DIGO: 4

05/04/2018 13:56:17:	DIGO: 0

05/04/2018 13:56:22:	DIGO: 8

05/04/2018 13:56:23:	DIGO: 0

05/04/2018 13:56:24:	STAT

05/04/2018 13:56:24:	DIGO: 0

05/04/2018 13:56:28:	DIGO: 4

05/04/2018 13:56:29:	DIGO: 0

05/04/2018 13:56:34:	DIGO: 8

05/04/2018 13:56:35:	DIGO: 0

05/04/2018 13:56:36:	STAT

05/04/2018 13:56:36:	DIGO: 0

05/04/2018 13:56:40:	DIGO: 4

05/04/2018 13:56:41:	DIGO: 0

05/04/2018 13:56:45:	DIGO: 8

05/04/2018 13:56:47:	DIGO: 0

05/04/2018 13:56:48:	STAT

05/04/2018 13:56:48:	DIGO: 0

05/04/2018 13:56:52:	DIGO: 4

05/04/2018 13:56:53:	DIGO: 0

05/04/2018 13:56:57:	DIGO: 8

05/04/2018 13:56:59:	DIGO: 0

05/04/2018 13:57:00:	STAT

05/04/2018 13:57:00:	DIGO: 0

05/04/2018 13:57:04:	DIGO: 4

05/04/2018 13:57:05:	DIGO: 0

05/04/2018 13:57:09:	DIGO: 8

05/04/2018 13:57:11:	DIGO: 0

05/04/2018 13:57:12:	STAT

05/04/2018 13:57:12:	DIGO: 0

05/04/2018 13:57:16:	DIGO: 4

05/04/2018 13:57:17:	DIGO: 0

05/04/2018 13:57:22:	DIGO: 8

05/04/2018 13:57:23:	DIGO: 0

05/04/2018 13:57:24:	STAT

05/04/2018 13:57:24:	DIGO: 0

05/04/2018 13:57:28:	DIGO: 4

05/04/2018 13:57:29:	DIGO: 0

05/04/2018 13:57:34:	DIGO: 8

05/04/2018 13:57:35:	DIGO: 0

05/04/2018 13:57:36:	STAT

05/04/2018 13:57:36:	DIGO: 0

05/04/2018 13:57:40:	DIGO: 4

05/04/2018 13:57:41:	DIGO: 0

