13/02/2018 13:35:38	   102.658 MHz	 11.0 V/m	 -9.0 dBm	OK	IP0: 29065	IP2: 119	IP3: 123	(11.18 V/m)	Digital: 0XEF
13/02/2018 13:35:45	   103.171 MHz	 10.7 V/m	 -9.3 dBm	OK	IP0: 28898	IP2: 119	IP3: 122	(11.10 V/m)	Digital: 0XEF
13/02/2018 13:35:51	   103.687 MHz	 10.7 V/m	 -9.4 dBm	OK	IP0: 28939	IP2: 122	IP3: 121	(11.15 V/m)	Digital: 0XEF
13/02/2018 13:35:57	   104.206 MHz	 10.3 V/m	 -9.7 dBm	OK	IP0: 28848	IP2: 121	IP3: 119	(11.09 V/m)	Digital: 0XEF
13/02/2018 13:36:03	   104.727 MHz	 10.1 V/m	 -9.7 dBm	OK	IP0: 28858	IP2: 121	IP3: 119	(11.12 V/m)	Digital: 0XEF
13/02/2018 13:36:08	   105.250 MHz	 10.4 V/m	 -9.7 dBm	OK	IP0: 28914	IP2: 119	IP3: 122	(11.16 V/m)	Digital: 0XEF
13/02/2018 13:36:12	   105.777 MHz	 10.7 V/m	 -9.8 dBm	OK	IP0: 28869	IP2: 117	IP3: 122	(11.16 V/m)	Digital: 0XEF
13/02/2018 13:36:18	   106.305 MHz	 10.5 V/m	 -9.8 dBm	OK	IP0: 28862	IP2: 122	IP3: 121	(11.12 V/m)	Digital: 0XEF
13/02/2018 13:36:24	   106.837 MHz	 10.8 V/m	 -9.8 dBm	OK	IP0: 28924	IP2: 118	IP3: 117	(11.17 V/m)	Digital: 0XEF


