03/05/2016 16:26:31	     0.890 MHz	 10.7 V/m	-16.8 dBm	OK	IP0: 193	Digital: 0XFF
03/05/2016 16:26:35	     0.900 MHz	 10.7 V/m	-16.8 dBm	OK	IP0: 212	Digital: 0XFF
03/05/2016 16:26:39	     0.910 MHz	 10.7 V/m	-16.8 dBm	OK	IP0: 219	Digital: 0XFF
03/05/2016 16:26:43	     0.920 MHz	 10.5 V/m	-16.8 dBm	OK	IP0: 192	Digital: 0XFF
03/05/2016 16:26:47	     0.930 MHz	 10.5 V/m	-16.8 dBm	OK	IP0: 204	Digital: 0XFF
03/05/2016 16:26:51	     0.940 MHz	 10.5 V/m	-16.8 dBm	OK	IP0: 192	Digital: 0XFF
03/05/2016 16:26:55	     0.950 MHz	 10.5 V/m	-16.8 dBm	OK	IP0: 220	Digital: 0XFF
03/05/2016 16:26:59	     0.960 MHz	 10.5 V/m	-16.8 dBm	OK	IP0: 211	Digital: 0XFF
03/05/2016 16:27:03	     0.970 MHz	 10.5 V/m	-16.8 dBm	OK	IP0: 189	Digital: 0XFF
03/05/2016 16:27:07	     0.980 MHz	 10.5 V/m	-16.8 dBm	OK	IP0: 221	Digital: 0XFF
03/05/2016 16:27:11	     0.990 MHz	 10.5 V/m	-16.8 dBm	OK	IP0: 201	Digital: 0XFF
03/05/2016 16:27:15	     1.000 MHz	 10.4 V/m	-16.8 dBm	OK	IP0: 200	Digital: 0XFF


