13/07/2017 16:24:57	   117.456 MHz	  4.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21516	(2.33 V/m)	Digital: 0XFF
13/07/2017 16:25:02	   118.044 MHz	  4.5 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20738	(2.00 V/m)	Digital: 0XFF
13/07/2017 16:25:07	   118.634 MHz	  4.2 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20351	(1.99 V/m)	Digital: 0XFF
13/07/2017 16:25:12	   119.227 MHz	  4.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20464	(2.36 V/m)	Digital: 0XFF
13/07/2017 16:25:17	   119.823 MHz	  4.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20933	(2.97 V/m)	Digital: 0XFF
13/07/2017 16:25:22	   120.422 MHz	  4.2 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21307	(3.38 V/m)	Digital: 0XFF
13/07/2017 16:25:27	   121.024 MHz	  4.5 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21617	(3.70 V/m)	Digital: 0XFF
13/07/2017 16:25:32	   121.630 MHz	  5.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21999	(4.09 V/m)	Digital: 0XFF
13/07/2017 16:25:37	   122.238 MHz	  5.5 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22232	(4.37 V/m)	Digital: 0XFF
13/07/2017 16:25:42	   122.849 MHz	  5.5 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21927	(4.25 V/m)	Digital: 0XFF
13/07/2017 16:25:47	   123.463 MHz	  5.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21359	(3.92 V/m)	Digital: 0XFF
13/07/2017 16:25:52	   124.080 MHz	  4.7 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20689	(3.47 V/m)	Digital: 0XFF
13/07/2017 16:25:57	   124.701 MHz	  4.5 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 19916	(2.77 V/m)	Digital: 0XFF
13/07/2017 16:26:02	   125.324 MHz	  4.5 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 19437	(2.32 V/m)	Digital: 0XFF
13/07/2017 16:26:07	   125.951 MHz	  4.6 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 18940	(1.85 V/m)	Digital: 0XFF
13/07/2017 16:26:12	   126.581 MHz	  4.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 19129	(1.92 V/m)	Digital: 0XFF
13/07/2017 16:26:17	   127.214 MHz	  5.4 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 19687	(2.25 V/m)	Digital: 0XFF
13/07/2017 16:26:22	   127.850 MHz	  6.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20304	(2.61 V/m)	Digital: 0XFF
13/07/2017 16:26:27	   128.489 MHz	  7.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21030	(2.85 V/m)	Digital: 0XFF
13/07/2017 16:26:32	   129.131 MHz	  7.5 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21597	(2.91 V/m)	Digital: 0XFF
13/07/2017 16:26:37	   129.777 MHz	  7.3 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21655	(2.57 V/m)	Digital: 0XFF
13/07/2017 16:26:41	   130.426 MHz	  6.5 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21610	(2.10 V/m)	Digital: 0XFF
13/07/2017 16:26:45	   131.078 MHz	  5.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21484	(1.51 V/m)	Digital: 0XFF
13/07/2017 16:26:50	   131.733 MHz	  5.3 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21324	(0.83 V/m)	Digital: 0XFF
13/07/2017 16:26:55	   132.392 MHz	  5.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21406	(0.56 V/m)	Digital: 0XFF
13/07/2017 16:27:00	   133.054 MHz	  4.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21707	(0.65 V/m)	Digital: 0XFF
13/07/2017 16:27:05	   133.719 MHz	  4.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22023	(0.75 V/m)	Digital: 0XFF
13/07/2017 16:27:10	   134.388 MHz	  5.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22401	(0.91 V/m)	Digital: 0XFF
13/07/2017 16:27:16	   135.060 MHz	  5.6 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22906	(1.19 V/m)	Digital: 0XFF
13/07/2017 16:27:21	   135.735 MHz	  5.6 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23254	(1.32 V/m)	Digital: 0XFF
13/07/2017 16:27:26	   136.414 MHz	  5.4 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23296	(1.34 V/m)	Digital: 0XFF
13/07/2017 16:27:31	   137.096 MHz	  5.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23047	(1.23 V/m)	Digital: 0XFF
13/07/2017 16:27:36	   137.781 MHz	  4.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22920	(1.23 V/m)	Digital: 0XFF
13/07/2017 16:27:41	   138.470 MHz	  4.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23009	(1.42 V/m)	Digital: 0XFF
13/07/2017 16:27:46	   139.163 MHz	  5.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23363	(1.84 V/m)	Digital: 0XFF
13/07/2017 16:27:51	   139.859 MHz	  5.7 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23656	(2.21 V/m)	Digital: 0XFF
13/07/2017 16:27:56	   140.558 MHz	  6.4 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23644	(2.31 V/m)	Digital: 0XFF
13/07/2017 16:28:01	   141.261 MHz	  6.6 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23456	(2.25 V/m)	Digital: 0XFF
13/07/2017 16:28:06	   141.967 MHz	  6.3 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22915	(1.89 V/m)	Digital: 0XFF
13/07/2017 16:28:11	   142.677 MHz	  6.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22548	(1.69 V/m)	Digital: 0XFF
13/07/2017 16:28:16	   143.390 MHz	  5.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22465	(1.73 V/m)	Digital: 0XFF
13/07/2017 16:28:21	   144.107 MHz	  5.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22433	(1.80 V/m)	Digital: 0XFF
13/07/2017 16:28:26	   144.828 MHz	  5.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22384	(1.73 V/m)	Digital: 0XFF
13/07/2017 16:28:31	   145.552 MHz	  6.2 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22570	(1.87 V/m)	Digital: 0XFF
13/07/2017 16:28:36	   146.279 MHz	  6.6 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22930	(2.17 V/m)	Digital: 0XFF
13/07/2017 16:28:41	   147.011 MHz	  7.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23137	(2.35 V/m)	Digital: 0XFF
13/07/2017 16:28:46	   147.746 MHz	  7.3 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22896	(2.10 V/m)	Digital: 0XFF
13/07/2017 16:28:51	   148.485 MHz	  6.7 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22296	(1.70 V/m)	Digital: 0XFF
13/07/2017 16:28:56	   149.227 MHz	  5.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21431	(1.17 V/m)	Digital: 0XFF
13/07/2017 16:29:01	   149.973 MHz	  5.4 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20582	(0.66 V/m)	Digital: 0XFF
13/07/2017 16:29:06	   150.723 MHz	  5.3 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20334	(0.72 V/m)	Digital: 0XFF
13/07/2017 16:29:11	   151.477 MHz	  5.5 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20322	(0.99 V/m)	Digital: 0XFF
13/07/2017 16:29:16	   152.234 MHz	  5.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20856	(1.69 V/m)	Digital: 0XFF
13/07/2017 16:29:21	   152.995 MHz	  6.3 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21253	(2.16 V/m)	Digital: 0XFF
13/07/2017 16:29:26	   153.760 MHz	  6.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21613	(2.61 V/m)	Digital: 0XFF
13/07/2017 16:29:31	   154.529 MHz	  6.7 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21743	(2.84 V/m)	Digital: 0XFF
13/07/2017 16:29:36	   155.302 MHz	  5.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21123	(2.44 V/m)	Digital: 0XFF
13/07/2017 16:29:41	   156.078 MHz	  4.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20543	(2.05 V/m)	Digital: 0XFF
13/07/2017 16:29:45	   156.859 MHz	  4.3 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 19783	(1.27 V/m)	Digital: 0XFF
13/07/2017 16:29:49	   157.643 MHz	  4.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 18724	(0.23 V/m)	Digital: 0XFF
13/07/2017 16:29:54	   158.431 MHz	  4.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 18532	(-0.09 V/m)	Digital: 0XFF
13/07/2017 16:29:59	   159.223 MHz	  4.3 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 19311	(0.44 V/m)	Digital: 0XFF
13/07/2017 16:30:04	   160.019 MHz	  4.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 19948	(0.84 V/m)	Digital: 0XFF
13/07/2017 16:30:09	   160.819 MHz	  5.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20611	(1.14 V/m)	Digital: 0XFF
13/07/2017 16:30:14	   161.624 MHz	  6.5 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21481	(1.63 V/m)	Digital: 0XFF
13/07/2017 16:30:19	   162.432 MHz	  6.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21497	(1.36 V/m)	Digital: 0XFF
